index,O,F,M
1862,0.00,1.00,0.00
1986,0.00,0.00,1.00
380,0.00,0.00,1.00
1919,0.00,1.00,0.00
2068,0.00,1.00,0.00
1480,0.00,0.00,1.00
2345,0.00,1.00,0.00
1402,0.00,0.00,1.00
361,0.00,0.00,1.00
1525,0.00,0.96,0.04
1717,0.00,1.00,0.00
980,0.00,1.00,0.00
1652,0.00,0.00,1.00
2496,0.00,0.83,0.17
401,0.00,0.00,1.00
1207,0.00,0.00,1.00
310,0.00,0.00,1.00
871,0.00,0.00,1.00
643,0.00,0.00,1.00
1858,0.00,0.00,1.00
529,0.00,0.00,1.00
541,0.00,0.00,1.00
1201,0.00,1.00,0.00
1300,0.00,1.00,0.00
1363,0.00,1.00,0.00
1846,0.00,0.01,0.99
1683,0.00,1.00,0.00
224,0.00,0.00,1.00
1827,0.00,0.68,0.32
1017,0.00,0.00,1.00
236,0.00,0.00,1.00
572,0.00,1.00,0.00
1669,0.00,0.02,0.98
549,0.00,0.12,0.88
1949,0.00,1.00,0.00
2495,0.00,0.00,1.00
1175,0.00,0.00,1.00
381,0.00,0.99,0.01
1441,0.00,1.00,0.00
1263,0.00,0.03,0.97
734,0.00,0.00,1.00
1587,0.00,1.00,0.00
107,0.00,1.00,0.00
1623,0.00,0.00,1.00
847,0.00,0.00,1.00
1769,0.00,1.00,0.00
1600,0.00,0.76,0.24
470,0.00,0.00,1.00
801,0.00,0.00,1.00
1167,0.00,1.00,0.00
1557,0.00,1.00,0.00
962,0.00,1.00,0.00
362,0.00,0.00,1.00
882,0.00,1.00,0.00
299,0.00,1.00,0.00
1872,0.00,1.00,0.00
1064,0.00,1.00,0.00
738,0.00,0.00,1.00
900,0.00,0.00,1.00
109,0.00,0.00,1.00
349,0.00,0.00,1.00
217,0.00,1.00,0.00
2456,0.00,0.00,1.00
47,0.00,0.00,1.00
478,0.00,0.02,0.98
2017,0.00,0.00,1.00
1689,0.00,0.00,1.00
985,0.00,1.00,0.00
925,0.00,1.00,0.00
632,0.00,0.00,1.00
1938,0.00,0.00,1.00
2064,0.00,0.00,1.00
850,0.00,0.23,0.77
57,0.00,0.00,1.00
2102,0.00,0.01,0.99
2012,0.00,0.77,0.23
1230,0.00,0.00,1.00
2455,1.00,0.00,0.00
1583,0.00,0.97,0.03
602,0.00,1.00,0.00
2103,0.00,0.00,1.00
2472,0.00,1.00,0.00
1302,0.00,1.00,0.00
2080,0.00,1.00,0.00
34,0.00,0.00,1.00
1234,0.00,0.92,0.08
1355,0.00,0.00,1.00
2238,0.00,0.00,1.00
972,0.00,0.94,0.06
1864,0.00,1.00,0.00
79,0.00,0.00,1.00
725,0.00,1.00,0.00
1910,0.00,1.00,0.00
2336,0.00,1.00,0.00
1950,0.00,0.00,1.00
1693,0.00,0.94,0.06
615,0.00,1.00,0.00
1183,0.00,0.01,0.99
789,0.00,0.00,1.00
1591,0.00,0.95,0.05
2158,0.00,0.00,1.00
913,0.00,1.00,0.00
1212,0.00,0.98,0.02
2302,0.00,1.00,0.00
1664,0.00,1.00,0.00
1859,0.00,1.00,0.00
1843,0.00,1.00,0.00
2184,0.00,0.02,0.98
1568,0.00,1.00,0.00
857,0.00,1.00,0.00
1704,0.00,1.00,0.00
616,0.00,0.00,1.00
1151,0.00,0.00,1.00
392,0.00,0.98,0.02
2076,0.00,1.00,0.00
527,0.00,1.00,0.00
1290,0.00,0.00,1.00
2129,0.00,1.00,0.00
679,0.00,0.01,0.99
348,0.00,0.03,0.97
947,0.00,0.00,1.00
2304,0.00,1.00,0.00
