index,O,F,M
19,5.50E-162,3.80E-02,9.62E-01
29,2.16E-47,1.64E-14,1.00E+00
59,0.00E+00,4.82E-59,1.00E+00
66,0.00E+00,9.88E-55,1.00E+00
69,0.00E+00,1.96E-63,1.00E+00
76,0.00E+00,1.17E-53,1.00E+00
95,2.51E-86,2.58E-21,1.00E+00
97,0.00E+00,5.26E-105,1.00E+00
101,1.31E-112,9.89E-14,1.00E+00
129,0.00E+00,2.04E-87,1.00E+00
130,2.19E-160,7.18E-11,1.00E+00
153,6.35E-157,9.75E-08,1.00E+00
163,0.00E+00,1.00E+00,6.75E-57
193,2.61E-260,2.63E-22,1.00E+00
207,1.96E-270,3.02E-43,1.00E+00
236,7.19E-262,2.19E-09,1.00E+00
265,2.70E-173,3.13E-39,1.00E+00
320,1.56E-116,1.11E-13,1.00E+00
327,0,0,1
345,1.30E-103,6.42E-01,3.58E-01
347,0.00E+00,7.24E-80,1.00E+00
359,0.00E+00,4.87E-06,1.00E+00
398,1.16E-151,1.93E-16,1.00E+00
443,0,0,1
462,2.06E-91,6.67E-73,1.00E+00
528,0.00E+00,1.00E+00,1.84E-59
546,0.00E+00,9.99E-01,6.40E-04
551,0.00E+00,9.83E-20,1.00E+00
607,5.17E-75,2.89E-11,1.00E+00
665,3.91E-185,1.00E+00,2.60E-06
666,7.11E-100,9.95E-01,4.71E-03
682,0.00E+00,1.88E-05,1.00E+00
688,0.00E+00,6.85E-06,1.00E+00
692,0.00E+00,1.00E+00,9.75E-12
705,8.02E-47,4.82E-04,1.00E+00
709,6.94E-283,3.25E-35,1.00E+00
732,5.72E-237,3.74E-22,1.00E+00
860,1.45E-41,1.92E-02,9.81E-01
873,0.00E+00,2.99E-20,1.00E+00
895,1.41E-146,4.52E-01,5.48E-01
897,5.74E-137,2.44E-03,9.98E-01
906,1.35E-174,8.10E-07,1.00E+00
923,7.27E-76,1.21E-07,1.00E+00
924,1.45E-60,2.59E-15,1.00E+00
939,4.36E-64,1.03E-13,1.00E+00
947,0.00E+00,2.78E-90,1.00E+00
970,0.00E+00,4.12E-04,1.00E+00
971,0,0.99742161,0.00257839
1003,0.00E+00,1.08E-163,1.00E+00
1034,0.00E+00,1.00E+00,9.77E-08
1068,6.67E-256,1.00E+00,7.70E-14
1078,0.00E+00,1.00E+00,1.78E-25
1124,0.00E+00,1.68E-18,1.00E+00
1149,6.11E-212,7.10E-01,2.90E-01
1175,0.00E+00,4.89E-180,1.00E+00
1177,0.00E+00,5.29E-38,1.00E+00
1222,0.00E+00,1.00E+00,1.14E-33
1223,6.87E-72,5.61E-08,1.00E+00
1306,4.32E-201,4.55E-17,1.00E+00
1321,1.38E-44,1.52E-05,1.00E+00
1336,0.00E+00,1.00E+00,5.15E-12
1367,2.71E-130,1.14E-02,9.89E-01
1380,2.54E-127,3.45E-02,9.65E-01
1395,0.00E+00,1.00E+00,1.60E-18
1416,6.35E-28,6.43E-01,3.57E-01
1418,2.53E-35,1.10E-05,1.00E+00
1425,4.57E-77,1.61E-08,1.00E+00
1437,2.64E-147,2.33E-07,1.00E+00
1462,8.80E-159,9.71E-01,2.86E-02
1510,7.63E-81,5.32E-02,9.47E-01
1520,1.84E-213,4.06E-32,1.00E+00
1544,1.58E-48,7.22E-21,1.00E+00
1587,3.29E-235,1.00E+00,6.12E-07
1606,6.26E-82,8.63E-03,9.91E-01
1613,1.17E-127,1.00E+00,4.32E-12
1633,4.48E-79,9.26E-01,7.36E-02
1637,0.00E+00,1.00E+00,1.83E-68
1640,4.87E-46,9.87E-01,1.30E-02
1654,0.00E+00,9.77E-144,1.00E+00
1693,9.22E-77,6.95E-01,3.05E-01
1698,2.44E-78,1.43E-01,8.57E-01
1713,9.48E-100,1.00E+00,1.79E-07
1741,2.09E-165,1.00E+00,4.93E-17
1772,0.00E+00,1.00E+00,3.67E-09
1779,1.37E-65,2.02E-11,1.00E+00
1798,1.13E-67,3.71E-01,6.29E-01
1812,6.25E-57,8.19E-01,1.81E-01
1824,4.05E-116,1.31E-15,1.00E+00
1855,8.78E-45,9.95E-01,5.50E-03
1889,8.54E-197,1.00E+00,9.92E-08
1957,2.15E-139,1.00E+00,4.54E-08
1986,0.00E+00,1.84E-10,1.00E+00
1991,0.00E+00,1.00E+00,4.47E-98
2012,7.28E-173,2.58E-02,9.74E-01
2019,0.00E+00,1.00E+00,8.89E-08
2033,4.62E-135,5.12E-104,1.00E+00
2061,0.00E+00,1.00E+00,1.08E-27
2112,3.12E-94,1.00E+00,3.30E-07
2115,0.00E+00,1.00E+00,8.34E-25
2129,2.55E-96,1.00E+00,2.27E-06
2163,0.00E+00,1.00E+00,1.96E-34
2185,3.35E-111,5.92E-04,9.99E-01
2206,0.00E+00,1.18E-138,1.00E+00
2208,0.00E+00,1.00E+00,1.33E-19
2209,0.00E+00,2.60E-27,1.00E+00
2222,0.00E+00,1.00E+00,3.65E-16
2283,1.87E-53,9.27E-02,9.07E-01
2284,2.04E-63,1.82E-05,1.00E+00
2290,0.00E+00,1.00E+00,2.41E-31
2316,6.35E-97,1.00E+00,5.58E-09
2317,0.00E+00,1.00E+00,7.08E-103
2323,0.00E+00,1.00E+00,2.26E-56
2358,1.81E-71,7.62E-01,2.38E-01
2360,1.02E-279,5.03E-04,9.99E-01
2386,6.47E-105,1.00E+00,4.17E-05
2408,0.00E+00,5.10E-04,9.99E-01
2430,8.41E-105,1.00E+00,4.45E-06
2457,1.71E-132,9.99E-01,7.70E-04
2462,2.99E-105,5.24E-02,9.48E-01
2484,1.44E-137,9.98E-01,1.61E-03
2490,1.68E-29,4.46E-18,1.00E+00
2497,1.74E-72,2.51E-02,9.75E-01
