index,O,F,M
1425,0,0,1
2390,0,0,1
1098,0,0.79,0.21
1600,0,0.56,0.44
384,0,1,0
2380,0,1,0
785,0,0,1
504,0,1,0
1924,0,1,0
1661,0,0,1
406,0,0,1
245,0,0.01,0.99
2466,0,1,0
987,0,0,1
1298,0,1,0
1126,0,1,0
1118,0,0,1
1541,0,1,0
282,0,1,0
1738,0,0,1
73,0,0,1
2300,0,1,0
1465,0,1,0
393,0,0,1
946,0,1,0
210,0,0,1
1698,0,0.18,0.82
1239,0,0.94,0.06
1631,0,0,1
2481,0,1,0
216,0,0,1
1221,0,1,0
40,0,1,0
1996,0,1,0
1461,0,0,1
2399,0,0,1
2144,0,1,0
429,0,0.84,0.16
2095,0,0,1
893,0,1,0
2096,0,1,0
1936,0,1,0
933,0,1,0
391,0,1,0
487,0,1,0
1258,0,1,0
953,0,0.99,0.01
1655,0,1,0
1771,0,1,0
722,0,0,1
37,0,0,1
721,0,1,0
833,0,0,1
682,0,0,1
2446,0,1,0
36,0,0,1
1877,0,0.99,0.01
1621,0,0.03,0.97
1609,0,0.3,0.7
443,0,0,1
2407,0,0.31,0.69
1273,0,0,1
1673,0,0,1
2085,0,0.62,0.38
1156,0,1,0
2094,0,1,0
237,0,0,1
138,0,0,1
130,0,0,1
1765,0,0,1
2063,0,1,0
739,0,0.09,0.91
272,0,0,1
1943,0,1,0
348,0,0.1,0.9
250,0,0,1
2477,0,0,1
779,0,0,1
2122,0,1,0
2055,0,1,0
249,0,0.47,0.53
1347,0,0,1
871,0,0,1
2460,0,1,0
1495,0,0.92,0.08
2179,0,1,0
493,0,1,0
516,0,0,1
1897,0,0,1
1401,0,1,0
1841,0,0.07,0.93
1554,0,0.96,0.04
869,0,0.01,0.99
803,0,0,1
281,0,0,1
673,0,0.91,0.09
1791,0,0,1
1095,0,1,0
1386,0,1,0
494,0,0,1
292,0,1,0
1525,0,0.97,0.03
741,0,0,1
1843,0,1,0
322,0,0,1
2139,0,0,1
1134,0,0.99,0.01
1241,0,1,0
1290,0,0,1
1716,0,0.99,0.01
465,0,0.89,0.11
1718,0,0.06,0.94
2301,0,0,1
913,0,1,0
1680,0,1,0
1025,0,0,1
327,0,0,1
720,0,0,1
2369,0,0,1
1096,0,1,0
970,0,0.01,0.99
288,0,0.01,0.99
