index,O,F,M
856,0.00,1.00,0.00
264,0.00,1.00,0.00
1791,0.00,0.00,1.00
615,0.00,1.00,0.00
525,0.00,1.00,0.00
1683,0.00,1.00,0.00
1281,0.00,1.00,0.00
726,0.00,0.00,1.00
2368,0.00,1.00,0.00
1819,0.00,0.00,1.00
1667,0.00,0.58,0.42
424,0.00,0.00,1.00
1541,0.00,1.00,0.00
2160,0.00,0.92,0.08
254,0.00,0.00,1.00
2158,0.00,0.00,1.00
400,0.00,0.00,1.00
2070,0.00,0.00,1.00
354,0.00,0.00,1.00
2082,0.00,1.00,0.00
110,0.00,1.00,0.00
894,0.00,1.00,0.00
974,0.00,0.00,1.00
2290,0.00,1.00,0.00
2026,0.00,1.00,0.00
1932,0.00,0.00,1.00
90,0.00,1.00,0.00
1462,0.00,1.00,0.00
2511,0.00,1.00,0.00
1615,0.00,1.00,0.00
127,0.00,0.00,1.00
843,0.00,0.00,1.00
1490,0.00,1.00,0.00
1616,0.00,1.00,0.00
2489,0.00,0.51,0.49
481,0.00,0.00,1.00
2279,0.00,0.81,0.19
1177,0.00,0.00,1.00
402,0.00,0.00,1.00
259,0.00,1.00,0.00
1456,0.00,1.00,0.00
1973,0.00,1.00,0.00
146,0.00,0.00,1.00
366,0.00,1.00,0.00
584,0.00,0.00,1.00
1201,0.00,1.00,0.00
1591,0.00,0.40,0.60
1789,0.00,1.00,0.00
889,0.00,0.00,1.00
1383,0.00,1.00,0.00
1681,0.00,1.00,0.00
476,0.00,1.00,0.00
132,0.00,0.00,1.00
371,0.00,1.00,0.00
760,0.00,0.00,1.00
2182,0.00,0.00,1.00
968,0.00,0.00,1.00
1048,0.00,0.00,1.00
1459,0.00,0.02,0.98
2382,0.00,1.00,0.00
1015,0.00,1.00,0.00
1578,0.00,0.00,1.00
72,0.00,0.03,0.97
448,0.00,0.95,0.05
1690,0.00,1.00,0.00
40,0.00,1.00,0.00
2522,0.00,1.00,0.00
294,0.00,1.00,0.00
1362,0.00,1.00,0.00
736,0.00,1.00,0.00
1882,0.00,0.00,1.00
153,0.00,0.00,1.00
1858,0.00,0.00,1.00
2259,0.00,1.00,0.00
2099,0.00,1.00,0.00
1190,0.00,0.00,1.00
338,1.00,0.00,0.00
2043,0.00,1.00,0.00
1210,0.00,0.45,0.55
1204,0.00,1.00,0.00
819,0.00,0.00,1.00
1427,0.00,0.00,1.00
1685,0.00,0.02,0.98
957,0.00,0.00,1.00
2067,0.00,0.00,1.00
374,0.00,0.00,1.00
1649,0.00,0.00,1.00
20,0.00,0.00,1.00
1739,0.00,0.00,1.00
2420,0.00,0.31,0.69
1567,0.00,0.03,0.97
828,0.00,0.00,1.00
2238,0.00,0.00,1.00
518,0.00,1.00,0.00
1148,0.00,1.00,0.00
2048,0.00,0.00,1.00
1802,0.00,0.99,0.01
727,0.00,0.00,1.00
1826,0.00,1.00,0.00
2009,0.00,1.00,0.00
2027,0.00,0.00,1.00
2094,0.00,1.00,0.00
1560,0.00,1.00,0.00
818,0.00,0.00,1.00
1175,0.00,0.00,1.00
2343,0.00,0.00,1.00
2246,0.00,1.00,0.00
1554,0.00,1.00,0.00
1515,0.00,1.00,0.00
861,0.00,0.00,1.00
15,0.00,0.00,1.00
2347,0.00,0.00,1.00
1914,0.00,0.00,1.00
2178,0.00,1.00,0.00
193,0.00,0.00,1.00
1972,0.00,0.00,1.00
252,0.00,1.00,0.00
723,0.00,0.00,1.00
1757,0.00,1.00,0.00
1180,0.00,1.00,0.00
1192,0.00,0.99,0.01
47,0.00,0.00,1.00
